Part Number,Qty Ordered,UM_Multiplier
EX-CNT,58.08,1
EX-SPH-CL,29.04,1
MARK,0,1
EX-MDA-BK,30,1
T24-150,1,1
CABLE-BK,44,1
RV-AB,4,1
RVCL-EC-BK,2,1
T24-150,1,1
RW-CH-BK-2.4M,1.56,1
RV-LVR-SV-2.4M,1.56,1
RV-SEALANT,0.6,1
RW-GASKET,36,1
RW-CNT,72,1
RW-USKT,36,1
RW-LSKT,36,1
RW-5000-SP,36,1
RW-SCREW,72,1
CABLE-RW-BLACK,24,1
ECL-WH,4,1
AVXF-3500K,462.28,1
AVXF-60,91,1
 ,1,1
MARK,0,1
LOT,0,1
ECD-WH,4,1
AV-MS,926,1
LC-1CH-MULTI,4,1
LDR24-96,4,1
EX-USK-BK,20,1
EX-VI-IW,20,1
EX-MDA-BK,20,1
ECD-BK,2,1
EX-TK,2,1
 ,1,1
EX-WR,30,1
LOT,0,1
CABLE-BK,20,1
EX-LSK-BK,20,1
EX-OR-22,40,1
EX-SCR,80,1
EX-G14-CL,20,1
EX-CNT,40,1
RV-SEAL,40,1
EX-OR-22,100,1
EX-USK-BK,50,1
RV-SEAL,100,1
EX-CNT,100,1
 ,1,1
EX-S14-FR,50,1
LOT,0,1
CABLE-BK,100,1
EX-LSK-BK,50,1
EX-WW,50,1
EX-SCR,200,1
WP-L02C,1789.76,1
FLBK-210-HM,1233.656,1
TLED-IW-UB,1789.76,1
HC-10/PLUG,48,1
HC-10/BOX-GSKT,12,1
LDR8-80,9,1
LDR8-40,5,1
EX-SCR,71.28,1
EX-UB-IW,17.82,1
RV-SEAL,35.64,1
EX-OR-22,35.64,1
T24-150,1,1
 ,1,1
EX-MD-BK,36,1
LOT,0,1
EX-USK-BK,17.82,1
CABLE-BK,27,1
EX-CNT,35.64,1
EX-LSK-BK,17.82,1
EX-SPH-FR,17.82,1
MDL-2700-B,68,1
MS-LNS-30D,68,1
RS-GC,68,1
LOT,0,1
LDR24-40,4,1
LC-1CH-MULTI,4,1
 ,1,1
MARK,0,1
EX-UB-IW,10,1
EX-PEND,10,1
EX-SPH-CL,10,1
EX-OR-22,20,1
